,store_id,order_id,profit,delivery_distance,planned_prep_time,region_id,order_price,items_count,prepared_on_time
0,5014.0,20562761.0,45.504,2205.0,15.0,683.0,30.49,2.0,1.0
2,3856.0,20562753.0,30.336,1368.0,10.0,683.0,240.78,2.0,1.0
4,10825.0,20562723.0,43.608,459.0,20.0,683.0,85.99,1.0,1.0
5,8535.0,20562639.0,11.312800000000005,1749.0,10.0,685.0,80.09,5.0,1.0
10,11449.0,20562617.0,4.424,1040.0,20.0,695.0,85.99,1.0,1.0
11,5014.0,20562585.0,49.77,536.0,15.0,683.0,86.28,3.0,1.0
14,10489.0,20562577.0,27.65,314.0,20.0,683.0,4.33,2.0,1.0
16,10295.0,20562575.0,8.927,336.0,15.0,683.0,51.94,1.0,1.0
17,8259.0,20562573.0,8.848,1228.0,15.0,709.0,42.06,3.0,1.0
20,4071.0,20562565.0,45.8832,144.0,30.0,695.0,74.89,3.0,1.0
23,7733.0,20562551.0,32.88148741136865,858.0,15.0,693.0,54.96,3.0,1.0
26,11175.0,20562543.0,44.556,1340.0,20.0,683.0,307.52,6.0,1.0
32,8767.0,20562541.0,7.994643183258631,1702.0,15.0,717.0,44.78,2.0,1.0
34,4360.0,20562539.0,23.71113768102805,1863.0,25.0,707.0,318.84000000000003,2.0,1.0
36,8779.0,20562535.0,10.112000000000002,1416.0,30.0,683.0,69.32,3.0,1.0
39,11513.0,20562523.0,5.4984,1905.0,2.0,691.0,112.33,4.0,1.0
43,5863.0,20562521.0,34.760000000000005,3868.0,15.0,703.0,208.01,2.0,1.0
45,11267.0,20562519.0,34.365,4743.0,15.0,683.0,47.55,2.0,1.0
47,10935.0,20562515.0,25.629578042030516,630.0,15.0,707.0,196.46,3.0,1.0
50,4050.0,20562509.0,4.424,1397.0,20.0,683.0,23.2,1.0,1.0
51,9787.0,20562503.0,12.482,3874.0,15.0,683.0,70.69,3.0,1.0
54,3503.0,20562489.0,11.534,9689.0,15.0,683.0,29.65,2.0,1.0
56,9499.0,20562485.0,31.68024671349758,2452.0,20.0,707.0,237.98,3.0,1.0
59,3982.0,20562473.0,13.259786943150175,2181.0,15.0,707.0,94.58,2.0,1.0
61,9383.0,20562453.0,9.875,2851.0,20.0,695.0,28.080000000000002,2.0,1.0
63,5212.0,20562447.0,21.8672,2646.0,20.0,683.0,118.81,2.0,1.0
65,3338.0,20562437.0,34.313220976394405,2322.0,30.0,683.0,28.04,1.0,1.0
66,8569.0,20562433.0,84.925,2600.0,40.0,685.0,38.39,2.0,1.0
68,9371.0,20562431.0,15.01,6244.0,15.0,717.0,249.48000000000002,3.0,1.0
71,5335.0,20562417.0,5.53,710.0,15.0,707.0,7.58,2.0,1.0
73,3522.0,20562409.0,62.568,9387.0,25.0,685.0,196.85,2.0,1.0
75,6915.0,20562407.0,12.64,1006.0,10.0,683.0,38.08,2.0,1.0
77,6691.0,20562405.0,101.4992,3143.0,30.0,683.0,206.44,2.0,1.0
79,9739.0,20562403.0,6.32,1935.0,15.0,707.0,42.99,1.0,1.0
80,11087.0,20562401.0,107.44,4334.0,25.0,683.0,139.3,3.0,1.0
83,5955.0,20562399.0,22.91,3287.0,25.0,703.0,16.96,2.0,1.0
85,3503.0,20562395.0,37.525,5031.0,25.0,683.0,66.59,4.0,1.0
89,11065.0,20562385.0,97.96,4883.0,20.0,683.0,38.519999999999996,2.0,1.0
91,3196.0,20562381.0,18.328,2211.0,40.0,683.0,480.89,6.0,1.0
97,3750.0,20562379.0,124.425,1352.0,35.0,683.0,108.52,6.0,1.0
103,10511.0,20562377.0,15.642,805.0,20.0,683.0,2.77,1.0,1.0
104,4497.0,20562375.0,12.64,8386.0,25.0,707.0,117.22,1.0,1.0
105,8267.0,20562373.0,30.415,1379.0,20.0,689.0,59.379999999999995,2.0,1.0
107,9479.0,20562359.0,17.380000000000003,2486.0,25.0,683.0,51.2,2.0,1.0
109,11251.0,20562355.0,19.75,11057.0,15.0,689.0,23.98,1.0,1.0
110,4751.0,20562353.0,14.694,6190.0,25.0,691.0,208.03,5.0,1.0
115,9559.0,20562351.0,16.116,1278.0,15.0,717.0,44.95,2.0,1.0
117,8767.0,20562349.0,61.304,8251.0,20.0,717.0,36.489999999999995,3.0,1.0
120,10243.0,20562341.0,30.336,6342.0,25.0,689.0,38.0,3.0,1.0
